Reporter Name,Partner Name,Year,Trade Flow,Product Group,Export (US$ Thousand),Export Product Share (%),World Growth (%),Longitude,Latitude
Malaysia,Nepal,2021,Export,Fuels,308.87,0.55,30.21,84,28
Malaysia,New Zealand,2021,Export,Fuels,154611.99,14.5,12.87,174,-42
Malaysia,Oman,2021,Export,Fuels,90866.07,31.26,30.12,57,21
Malaysia,Pakistan,2021,Export,Fuels,149046.77,10.3,36.87,70,30
Malaysia,Panama,2021,Export,Fuels,21074.99,14.6,,-80,9
Malaysia,Pitcairn,2021,Export,Fuels,46.21,22.54,,-130.1,-25.0667
Malaysia,Peru,2021,Export,Fuels,24131.75,12.64,40.3,-75.25,-10
Malaysia,Philippines,2021,Export,Fuels,790273.18,14.47,36.65,122.5614,13.4086
Malaysia,Papua New Guinea,2021,Export,Fuels,65833.25,19.29,,147,-6
Malaysia,Poland,2021,Export,Fuels,51.29,0.01,24.74,20,52
Malaysia,Portugal,2021,Export,Fuels,15.06,0.02,29.31,-8.1306,39.6944
Malaysia,Paraguay,2021,Export,Fuels,5,0.07,18.42,-58,-23.3333
Malaysia,French Polynesia,2021,Export,Fuels,34232.33,87.33,12.33,-140,-15
Malaysia,Qatar,2021,Export,Fuels,63762.66,17.75,15.29,51.25,25.5
Malaysia,Romania,2021,Export,Fuels,99.14,0.08,,25,46
Malaysia,Russian Federation,2021,Export,Fuels,6922.36,0.74,15.81,100,60
Malaysia,Saudi Arabia,2021,Export,Fuels,141817.67,11.62,30.21,45,25
Malaysia,Senegal,2021,Export,Fuels,2008.3,1.35,16.39,-14.25,14.5
Malaysia,Singapore,2021,Export,Fuels,5740767.11,13.72,23.94,103.85,1.2894
Malaysia,Solomon Islands,2021,Export,Fuels,24984.49,54.81,,159,-8
Malaysia,Sierra Leone,2021,Export,Fuels,1.38,0.01,,-11.5,8.5
Malaysia,El Salvador,2021,Export,Fuels,13.99,0.08,,-100.8661,24.5208
Malaysia,Somalia,2021,Export,Fuels,14.93,0.02,,48,6
Malaysia,Sudan,2021,Export,Fuels,22.28,0.08,,30,16
Malaysia,Suriname,2021,Export,Fuels,171.94,3.36,-17.93,-56,4
Malaysia,Sweden,2021,Export,Fuels,0.6,0,,15,62
Malaysia,Seychelles,2021,Export,Fuels,3425.78,25.1,,55.6667,-4.5833
Malaysia,Togo,2021,Export,Fuels,126243.31,38.3,51.27,1.0833,8.6667
Malaysia,Thailand,2021,Export,Fuels,1661124.17,13.14,19.73,101,15.5
Malaysia,East Timor,2021,Export,Fuels,8999.51,43.39,,125.75,-8.8333
Malaysia,Tonga,2021,Export,Fuels,91.48,3.13,,-175,-20
Malaysia,Trinidad and Tobago,2021,Export,Fuels,4.08,0.01,-51.18,-61,11
Malaysia,Turkey,2021,Export,Fuels,5974.16,0.18,32.38,35,39
Malaysia,Tuvalu,2021,Export,Fuels,28.51,13.2,,179.1447,-8.5169
Malaysia,Tanzania,2021,Export,Fuels,102747.94,26.04,28.03,35,-6
Malaysia,Uganda,2021,Export,Fuels,1306.91,7.91,,32.5,1.25
Malaysia,Ukraine,2021,Export,Fuels,221.33,0.13,29.68,32,49
Malaysia,Uruguay,2021,Export,Fuels,2.14,0.01,,-56,-33
Malaysia,United States,2021,Export,Fuels,94544.06,0.28,31.19,-98.5,39.76
Malaysia,Uzbekistan,2021,Export,Fuels,37.2,0.08,18.65,63.8333,41.6667
Malaysia,Venezuela,2021,Export,Fuels,767.03,7.41,,-66,8
Malaysia,Vietnam,2021,Export,Fuels,1391863.57,12.67,12.6,107.8333,16.1667
Malaysia,Vanuatu,2021,Export,Fuels,14081.39,76.13,,167.5,-16.3331
Malaysia,Samoa,2021,Export,Fuels,8508.45,72.35,,-172.1333,-13.8
Malaysia,Yemen,2021,Export,Fuels,1599.3,0.82,,47.5,15.5
Malaysia,South Africa,2021,Export,Fuels,172739.88,20.67,26.84,24,-29
